Scenario,TradingDate,Symbol,Price,Score,Target,StopLoss,ExpProfit,SMA20,vsSMA20,YTD,LastMonth,Price5d,PnL5d,Price10d,PnL10d,MaxPrice10d,Status
3%/10d,2026-02-25,DOW,30.01,94,31.7,29.05,5.6,30.39,Under,28.2,8.1,32.33,7.73,34.38,14.56,35.75,HIT TARGET
3%/10d,2026-02-25,LUV,49.9,94,52.46,48.68,5.1,50.37,Under,20.7,22.2,47.13,-5.55,41.83,-16.17,51.65,STOPPED OUT
3%/10d,2026-02-20,DOW,30.52,94,32.18,29.06,5.5,31.06,Under,30.4,8.1,30.75,0.75,33.27,9.01,35.15,HIT TARGET
3%/10d,2026-02-20,CE,54.09,93,56.76,51.02,4.9,54.86,Under,30.4,13.8,49.98,-7.6,49.31,-8.84,55.93,STOPPED OUT
3%/10d,2026-02-20,AMD,200.12,87,213.14,193.77,6.5,201.06,Under,-9.8,-22.9,200.19,0.03,192.45,-3.83,216.71,HIT TARGET
3%/10d,2026-02-20,COP,110.55,86,113.51,108.53,2.7,110.78,Under,16.5,12.4,113.45,2.62,117.07,5.9,122.5,HIT TARGET
3%/10d,2026-02-20,GLD,468.48,80,486.26,463.99,3.8,461.09,Above,17.5,2.3,483.74,3.26,473.52,1.08,492.15,HIT TARGET
3%/10d,2026-02-20,XLE,54.9,70,55.87,54.25,1.8,54.89,Above,22.2,11.6,55.91,1.84,56.56,3.02,57.88,HIT TARGET
3%/10d,2026-02-20,ETHA,14.89,69,15.54,14.41,4.4,14.72,Above,-35.8,-32.9,14.53,-2.42,14.95,0.4,16.63,HIT TARGET
3%/10d,2026-02-20,XAR,281.98,65,289.43,276.39,2.6,281.16,Above,16.0,-0.3,282.78,0.28,279.29,-0.95,295.39,HIT TARGET
3%/10d,2026-02-20,NUE,179.97,87,185.61,176.64,3.1,181.27,Under,8.3,-0.9,176.87,-1.72,168.75,-6.23,181.26,STOPPED OUT
3%/10d,2026-02-20,LLY,1010.16,86,1048.53,994.05,3.8,1016.13,Under,-5.3,-5.1,1051.71,4.11,989.84,-2.01,1064.45,HIT TARGET
3%/10d,2026-02-27,ETHA,14.53,93,15.15,13.81,4.3,15.1,Under,-37.4,-29.2,14.95,2.89,15.88,9.29,16.73,HIT TARGET
3%/10d,2026-02-27,BBWI,22.76,87,23.6,21.86,3.7,22.95,Under,13.0,6.5,20.79,-8.66,19.49,-14.37,23.89,HIT TARGET
3%/10d,2026-02-27,IBIT,37.2,85,38.11,36.06,2.5,38.09,Under,-26.4,-20.7,38.61,3.79,40.37,8.52,42.02,HIT TARGET
3%/10d,2026-02-27,ORCL,145.32,84,150.89,137.61,3.8,147.2,Under,-25.4,-12.7,152.94,5.24,155.1,6.73,171.76,HIT TARGET
3%/10d,2026-02-27,CE,49.98,82,52.58,47.74,5.2,49.14,Above,20.5,11.4,49.31,-1.34,57.73,15.51,61.6,HIT TARGET
3%/10d,2026-02-27,WFC,81.42,81,83.31,78.76,2.3,84.72,Under,-12.6,-10.4,80.4,-1.25,74.11,-8.98,84.04,HIT TARGET
3%/10d,2026-02-27,XAR,282.78,52,290.14,278.21,2.6,280.99,Above,16.3,2.8,279.29,-1.23,265.11,-6.25,295.39,HIT TARGET
3%/10d,2026-02-27,XLE,55.91,47,56.77,55.08,1.5,55.18,Above,24.4,11.0,56.56,1.16,57.69,3.18,58.22,HIT TARGET
3%/10d,2026-02-27,MRVL,81.7,79,86.15,77.99,5.4,79.83,Above,-7.3,0.8,89.5,9.55,87.85,7.53,95.05,HIT TARGET
3%/10d,2026-02-27,ANET,133.47,79,138.85,128.61,4.0,131.06,Above,-0.9,-8.7,132.91,-0.42,133.57,0.07,141.77,HIT TARGET
