Scenario,TradingDate,Symbol,Price,Score,Target,StopLoss,ExpProfit,SMA20,vsSMA20,YTD,LastMonth,Price5d,PnL5d,Price10d,PnL10d,MaxPrice10d,Status
8%/10d,2026-03-12,TER,286.6,90,314.96,268.8,9.9,300.13,Under,40.7,-7.9,302.47,5.54,303.92,6.04,314.28,MISSED
8%/10d,2026-03-12,AMAT,337.4,85,361.25,327.79,7.1,345.98,Under,26.3,2.8,357.23,5.88,361.79,7.23,374.25,HIT TARGET
8%/10d,2026-03-12,SLVR,67.67,66,73.4,64.23,8.5,70.3,Under,20.8,7.6,54.36,-19.67,53.98,-20.23,67.34,STOPPED OUT
8%/10d,2026-03-12,AMD,197.82,54,208.53,192.65,5.4,202.48,Under,-10.9,-3.9,205.23,3.75,202.68,2.46,209.06,HIT TARGET
8%/10d,2026-03-12,CAT,700.42,50,727.23,682.25,3.8,708.86,Under,19.4,-7.7,688.54,-1.7,701.7,0.18,712.0,MISSED
8%/10d,2026-03-12,ETHA,15.64,44,16.33,15.17,4.4,15.58,Above,-32.6,8.3,16.17,3.39,16.28,4.09,17.82,HIT TARGET
8%/10d,2026-03-12,GLW,129.71,84,139.85,122.22,7.8,133.1,Under,45.5,-1.4,133.11,2.62,130.97,0.97,135.28,MISSED
8%/10d,2026-03-12,FCX,59.2,78,62.32,56.67,5.3,60.78,Under,14.4,-4.5,53.59,-9.48,54.94,-7.2,59.06,STOPPED OUT
8%/10d,2026-03-12,ILMN,115.54,74,121.84,112.36,5.5,120.7,Under,-12.4,1.0,126.51,9.49,123.79,7.14,128.19,HIT TARGET
8%/10d,2026-03-12,LUV,38.6,74,40.91,36.78,6.0,41.42,Under,-6.7,-24.0,40.87,5.88,40.35,4.53,41.83,HIT TARGET
10%/10d,2026-03-06,SLVR,69.49,91,76.98,65.81,10.8,71.55,Under,24.0,7.3,62.91,-9.47,51.21,-26.31,74.34,STOPPED OUT
10%/10d,2026-03-06,MRNA,52.54,89,58.42,47.71,11.2,54.08,Under,69.2,28.2,52.55,0.02,51.4,-2.17,57.88,MISSED
10%/10d,2026-03-06,TER,273.0,89,303.1,251.56,11.0,295.21,Under,34.0,-9.0,286.52,4.95,290.89,6.55,312.62,HIT TARGET
10%/10d,2026-03-06,AMD,192.45,68,204.45,183.86,6.2,198.37,Under,-13.3,-7.6,193.44,0.51,201.47,4.69,209.21,HIT TARGET
10%/10d,2026-03-06,CAT,680.74,63,717.38,656.55,5.4,708.33,Under,16.0,-6.3,694.1,1.96,680.87,0.02,730.79,HIT TARGET
10%/10d,2026-03-06,ALB,162.21,88,176.47,155.25,8.8,165.35,Under,13.8,-0.7,158.21,-2.47,156.65,-3.43,173.64,MISSED
10%/10d,2026-03-06,AMAT,324.77,86,353.12,305.63,8.7,344.21,Under,21.6,0.6,341.53,5.16,357.31,10.02,362.0,HIT TARGET
